pmid,year,title,authors,journal,doi,publication_types,language,abstract,pubmed_url
41938902,2026,Clinical outcomes of persistent sepsis-associated acute kidney injury in septic shock: a post-hoc analysis of a multicenter prospective cohort study.,Kyo M; Kawazoe Y; Morimoto T; Yamamura H; Miyamoto K; Miyagawa N; Ohta Y; Kikutani K; Ohshimo S; Hirohashi N; Shime N,Annals of intensive care,10.1016/j.aicoj.2026.100041,Journal Article,eng,"Sepsis-associated acute kidney injury (SA-AKI) contributes to a large morbidity and mortality burden. While emerging evidence suggests that the trajectory of SA-AKI, such as persistent SA-AKI, is associated with clinical outcomes, their association in septic shock remains unclear. In this multicenter prospective study in 20 ICUs, we investigated the incidence, clinical impact, and risk factors of persistent SA-AK in patients with septic shock requiring high-dose norepinephrine. Persistent SA-AKI was defined as an episode of AKI by KDIGO criteria lasting for at least 48 h in sepsis defined by sepsis-3 criteria. We assessed the association of persistent SA-AKI with clinical outcomes using multivariable Cox proportional hazards and logistic regression models. We also investigated risk factors for persistent SA-AKI. In 257 patients with septic shock, 215 (84%) developed SA-AKI within 48 h of ICU admission, and 111 (43%) progressed to persistent SA-AKI. Patients with persistent SA-AKI had a significantly higher risk of 90-day mortality (adjusted HR, 2.75; 95% CI, 1.39-5.42; P = 0.004) and hospital mortality (adjusted OR, 4.29; 95% CI, 1.87-10.70; P < 0.001) than those with transient SA-AKI. Greater time-weighted average vasoactive-inotropic score was independently associated with the development of persistent SA-AKI (adjusted OR, 1.03; 95% CI, 1.01-1.06; P = 0.03). In patients with septic shock requiring high-dose norepinephrine, persistent SA-AKI is associated with worse clinical outcomes. These findings support the need for further research on risk stratification and targeted interventions based on the trajectory of SA-AKI. The study was registered on UMIN Clinical Trial Registry (UMIN000038302) on November 1, 2019.",https://pubmed.ncbi.nlm.nih.gov/41938902/
41932215,2026,"Comment on ""Trajectory pattern of serum urea nitrogen to creatinine ratio in acute kidney injury requiring continuous renal replacement therapy: A post hoc analysis of a retrospective multicenter cohort study"".",Maji C; Kokiwar PR; Biradar A; Jauhari R,Journal of critical care,10.1016/j.jcrc.2026.155570,Journal Article; Letter,eng,"We read with interest the recent multicenter post hoc cohort study evaluating serum urea nitrogen-to-creatinine ratio (UCR) trajectories in patients with acute kidney injury receiving continuous renal replacement therapy (CRRT). The authors identified three groups using group-based multitrajectory modeling and reported higher mortality in patients with elevated UCR or lactate. While the study addresses an important question in critical care risk stratification, several methodological and interpretive issues merit clarification. First, the identified classes appear to be driven primarily by baseline differences in UCR and lactate rather than clearly distinct longitudinal trajectories, raising the possibility that the findings reflect baseline prognostic stratification rather than true temporal phenotypes. Comparison with simpler baseline models incorporating day-1 variables would help determine the added value of the trajectory approach. Second, the requirement for at least two days of CRRT and the use of data up to day 3 for classification may introduce survivor or guarantee-time bias, as phenotype assignment depends on continued survival and treatment exposure. Analytical approaches such as landmark analysis or time-to-event modeling from a uniform baseline could improve validity. Third, UCR may be influenced by CRRT related factors, including modality, effluent dose, and nutritional support, complicating its biological interpretation as a marker of catabolism or illness severity. Adjustment for these variables would help distinguish treatment effects from underlying pathophysiology. Addressing these issues would strengthen the clinical applicability of UCR in risk stratification during CRRT.",https://pubmed.ncbi.nlm.nih.gov/41932215/
41921011,2026,Association between blood urea nitrogen to serum albumin ratio trajectories and mortality in patients with acute kidney injury: a retrospective cohort study.,Wang X; Li Y; Zhao J; Deng Y; Tian R; Liu L; Ping Z,Journal of nephrology,10.1093/joneph/aajaf016,Journal Article,eng,"Although previous studies have identified the blood urea nitrogen to serum albumin ratio as a risk factor for acute kidney injury (AKI), they only evaluated baseline levels, overlooking dynamic changes during intensive care unit (ICU) hospitalization. This study aimed to examine blood urea nitrogen to serum albumin ratio trajectories, assess their relationship with mortality in AKI patients, and identify factors that might influence this association. Critically ill patients with acute kidney injury were identified from the Medical Information Mart for Intensive Care (MIMIC-IV) database. The latent growth curve model was utilized to assess average blood urea nitrogen to serum albumin ratio trajectories and inter-individual variability. The group-based trajectory model identified subgroups exhibiting similar blood urea nitrogen to serum albumin ratio patterns. Cox regression analysis assessed the risk of mortality across different blood urea nitrogen to serum albumin ratio trajectory groups. Subgroup analyses were performed to validate the robustness of the results. Among 3013 eligible patients, latent growth curve modeling revealed significant heterogeneity in blood urea nitrogen to serum albumin ratio trajectories. Group-based trajectory modeling identified three trajectories: high level of decrease (22.4%), medium level of stability (42.4%), and low level of increase (35.2%). Multivariate Cox regression confirmed a higher mortality risk in the ""high level of decrease"" group at both 28 days (Hazard Ratio [HR] 2.42, 95% Confidence Interval [CI] 1.95-3.01; P < 0.001) and 360 days (HR 1.84, 95% CI 1.56-2.17; P < 0.001). Subsequently, subgroup analyses were performed for potential confounders identified by the causal directed acyclic graphs to investigate their influence on the association between blood urea nitrogen to serum albumin ratio trajectories and mortality. Blood urea nitrogen to serum albumin ratio longitudinal trends are positively correlated with mortality. Interventions aimed at reducing blood urea nitrogen to serum albumin ratio may improve survival in acute kidney injury patients.",https://pubmed.ncbi.nlm.nih.gov/41921011/
41901527,2026,Outcomes of Burn Patients Admitted Initially to a Non-Burn Center Intensive Care Unit in Romania: A Retrospective Exploratory Study.,Grăjdieru O; Bodolea C; Moisoiu V; Petrișor C; Tigu B; Szekely A; Streza R; Constantinescu C,"Medicina (Kaunas, Lithuania)",10.3390/medicina62030443,Journal Article; Observational Study,eng,"Background and Objectives: Many burn patients are initially admitted to non-burn center intensive care units (ICUs) due to resource constraints, geographic barriers, or delayed transfer. Their management requires multidisciplinary, phase-specific clinical and assistive practices, yet outcomes from non-specialized centers remain scarce. This study aimed to (1) determine six-month survival among all adult burn patients initially admitted to a non-burn center ICU, (2) identify clinical predictors of mortality, and (3) explore reasons for transfer to burn centers within a resource-limited healthcare setting. Materials and Methods: We conducted a retrospective observational cohort study including 42 adult burn patients initially admitted to the ICU of a regional non-burn hospital in Romania (2019-2024). Of these, 24 were treated entirely in the non-burn center (initially treated in the ICU and then further managed on the same hospital's wards), and 18 were, after initial ICU stabilization, subsequently transferred to burn centers. Six-month survival was assessed using Kaplan-Meier analysis. Logistic regression and Cox proportional hazards models were used to assess associations with mortality. Clinical trajectories and transfer decisions were also analyzed. Results: Six-month survival was 61.9% (95% CI 48.8-78.5), with most deaths occurring within 60 days. Total body surface area (TBSA) (HR 1.05, 95% CI 1.02-1.08, p < 0.001) and acute kidney injury (AKI) (HR 3.48, 95% CI 1.18-10.29, p = 0.024) were independently associated with mortality. Patients transferred to burn centers had greater TBSA (median 35% vs. 15%, p = 0.003), consistent with severity-driven referral decisions. Conclusions: Among all burn patients initially admitted to a non-burn center ICU, six-month survival was 62%, with TBSA and AKI independently associated with mortality in adjusted analyses. These findings underscore the importance of phase-specific, multidisciplinary care pathways, including early resuscitation, renal and hemodynamic monitoring, coordinated nursing care, rehabilitation planning, and transfer protocols to improve outcomes.",https://pubmed.ncbi.nlm.nih.gov/41901527/
41897071,2026,Early Prediction of Acute Kidney Injury Using the Furosemide Stress Test in Pediatric Cardiac Surgery Patients.,Özden Ö; Tanyildiz M; Yakici AE; Alper EN; Kızılkaya MH; Biçer M; Pehlivanoğlu C; Ödemiş E; Akçevin A,"Children (Basel, Switzerland)",10.3390/children13030358,Journal Article,eng,"We evaluated the furosemide stress test as an early predictor of acute kidney injury following pediatric cardiac surgery, in comparison with the Kidney Disease: Improving Global Outcomes (KDIGO) diagnostic criteria. This single-centre retrospective study evaluated pediatric patients who underwent open cardiac surgery between March 2019 and September 2024 at Koç University Hospital. The evaluation included pre-operative, intra-operative, and postoperative variables; a two-hour assessment of urinary response to the first dose of furosemide upon admission to the intensive care unit; and rates of acute kidney injury. A total of 254 patients were included, and 53 patients (20.8%) developed acute kidney injury according to KDIGO criteria. The mean furosemide stress test response was 9.86 ± 5.84 (median: 9.10) mL/kg/h in the non-AKI group and was significantly lower in the AKI group at 5.07 ± 4.73 (median: 3.33) mL/kg/h (p < 0.001). Receiver operating characteristic analysis demonstrated that the furosemide stress test has discriminative ability to predict acute kidney injury. The cut-off value was 6.104 mL/kg/h, and patients with a lower response had a higher risk of developing acute kidney injury. Sensitivity and specificity were 69.8% and 69.7%, respectively. Acute kidney injury was diagnosed at a median of 18 h using KDIGO criteria, whereas the furosemide stress test enabled earlier prediction of acute kidney injury risk at a median of 5 h. The findings support the potential clinical utility of the furosemide stress test in the early stages after pediatric cardiac surgery to predict acute kidney injury.",https://pubmed.ncbi.nlm.nih.gov/41897071/
41890997,2026,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting.,Cai J; Gatz AE; Li J; Pal D; Tang H; Eadon MT; Yang B; Meng L; Su J,medRxiv : the preprint server for health sciences,10.64898/2026.03.13.26346736,Journal Article; Preprint,eng,"Acute kidney injury in sepsis evolves over hours to days, yet most ICU models emphasize onset and provide limited insight into cardio-renal interactions. We developed AKI-twinX, an organ-structured, explainable digital twin that jointly forecasts acute kidney injury onset, acute kidney injury trajectory, and near-term mortality risk. The model learns renal and cardiovascular latent states with sparse feature gating and captures cross-organ coupling with attention. We trained AKI-twinX on MIMIC-IV sepsis using 5-fold cross-validation and evaluated it on an Indiana University Health cohort. Discrimination was consistent across systems (AUC: mortality 0.86-0.88, acute kidney injury onset 0.78-0.82, acute kidney injury trajectory 0.73-0.78). In vasopressor-treated windows, 12-hour systolic blood pressure forecasts tracked observed values (mean absolute error 8.5 mmHg). Counterfactual vasopressor withdrawal shifted predicted blood pressure downward and increased predicted risk, supporting sensitivity to clinically meaningful interventions. AKI-twinX enables trajectory-aware forecasting with bedside auditability in sepsis.",https://pubmed.ncbi.nlm.nih.gov/41890997/
41877057,2026,Clinical and resource burden of acute kidney injury among adults hospitalized with sepsis: a retrospective cross-sectional study.,Tai B; Okonkwo C,BMC nephrology,10.1186/s12882-026-04915-z,Journal Article,eng,"BACKGROUND: Acute kidney injury (AKI) is a frequent complication of sepsis and is associated with worse clinical outcomes. However, contemporary national estimates of its broader clinical and health-system burden, including discharge disposition, remain limited. We used a large nationally representative database to characterize the epidemiology and associated outcomes of AKI among adults hospitalized with sepsis in the United States. METHODS: We conducted a cross-sectional study of adult sepsis hospitalizations in the 2022 National Inpatient Sample (NIS). AKI was identified using ICD-10-CM codes (N17.x) in any diagnosis position. Clinical outcomes included in-hospital mortality, mechanical ventilation, central venous catheter placement (marker of intensive care–level management), and in-hospital dialysis. Resource outcomes included length of stay, total hospital charges, and discharge disposition. Survey-weighted logistic and gamma regression models were used to estimate adjusted odds ratios (aORs) and adjusted ratios of geometric means (aROMs), adjusting for demographic, socioeconomic, and Elixhauser comorbidity variables. Sensitivity analyses evaluated dialysis associations after excluding patients with pre-existing end-stage renal disease (ESRD) and assessed robustness of AKI definition using primary-diagnosis restriction. RESULTS: Among an estimated 2.96 million adult sepsis hospitalizations in 2022, 44.5% involved AKI. Compared with sepsis hospitalizations without AKI, those with AKI demonstrated higher unadjusted mortality (19.8% vs. 7.5%), greater use of mechanical ventilation (22.3% vs. 9.3%), and increased central venous catheter placement (10.1% vs. 5.8%). After adjustment, AKI remained strongly associated with in-hospital mortality (aOR 2.44; 95% CI 2.38–2.50), mechanical ventilation (aOR 2.66; 95% CI 2.60–2.72), central venous catheter placement (aOR 1.70; 95% CI 1.65–1.74), longer length of stay (aROM 1.33; 95% CI 1.32–1.34), and higher total hospital charges (aROM 1.50; 95% CI 1.48–1.52). AKI was also associated with lower likelihood of home discharge (26.0% vs. 43.8%) and greater transfer to post-acute care facilities (40.4% vs. 30.8%). In fully adjusted models, AKI was associated with lower odds of dialysis (aOR 0.73; 95% CI 0.70–0.76); however, exclusion of patients with pre-existing ESRD reversed this association (aOR 19.0; 95% CI 14.1–25.7), suggesting influence of administrative coding structure. Given potential misclassification of chronic dialysis status in administrative data, dialysis findings should be interpreted as exploratory. CONCLUSIONS: In a contemporary nationally representative cohort, AKI was common among adults hospitalized with sepsis and was independently associated with higher mortality, greater concurrent organ-support involvement, prolonged hospitalization, increased financial burden, and worse discharge disposition. Sensitivity analyses highlight the influence of chronic dialysis coding on dialysis outcomes and underscore the importance of cautious interpretation of administrative data. These findings support recognition of AKI as a high-risk prognostic phenotype within sepsis hospitalizations and emphasize its substantial recovery and health-system burden.",https://pubmed.ncbi.nlm.nih.gov/41877057/
41861649,2026,De Ritis Ratio Trajectories and Mortality Risk in Sepsis-Associated Acute Kidney Injury.,Luo X; Huang G; Zeng W; Lai N; Zhang M; Zhu D,The Journal of surgical research,10.1016/j.jss.2026.02.009,Journal Article,eng,"Sepsis-associated acute kidney injury (SA-AKI) is a common and life-threatening complication in critically ill patients. The De Ritis ratio has been linked to adverse clinical outcomes; however, its longitudinal trajectories and prognostic value in SA-AKI patients remained unclear. This retrospective cohort study utilized data from the Medical Information Mart for Intensive Care database and included 4468 patients with SA-AKI who had at least four measurements of the De Ritis ratio within the first 7 d following intensive care unit (ICU) admission. Group-based trajectory modeling was used to identify distinct De Ritis ratio trajectories. Cox proportional hazards models were employed to evaluate the associations of both baseline De Ritis ratio and its trajectories with ICU mortality and 30-d mortality. Three distinct De Ritis ratio trajectories were identified: persistently low, moderate, and high levels. SA-AKI patients in the persistently high-level group had significantly higher ICU (hazard ratio [HR] = 1.91, 95% confidence interval [CI]: 1.51-2.43) and 30-d mortality (HR = 2.05, 95% CI: 1.65-2.53) risks compared to those with persistently low trajectories. In addition, the persistently moderate De Ritis ratio trajectory was also significantly associated with ICU mortality (HR = 1.60, 95% CI: 1.36-1.88) and 30-d mortality (HR = 1.73, 95% CI: 1.51-1.99). Subgroup analysis demonstrated that these associations were more pronounced among patients admitted through the emergency department. Persistently elevated De Ritis ratio trajectories within the first 7 d of ICU admission were independently associated with increased risks of ICU and 30-d mortality in patients with SA-AKI.",https://pubmed.ncbi.nlm.nih.gov/41861649/
41861041,2026,Association between Cytokine Adsorption Therapy and Organ Dysfunction Trajectories in Septic Shock with AKI: A Retrospective Cohort Study.,Kılıç İ; Çağlayan Y; Kiraz HA; Bakırdöğen S; Karakılıç E,Blood purification,10.1159/000551454,Journal Article,eng,"Septic shock with acute kidney injury (AKI) carries a high risk of mortality and multi-organ dysfunction. Cytokine adsorption therapy has been proposed as a potential adjunct to continuous renal replacement therapy. We aimed to evaluate the association between cytokine adsorption and short-term organ dysfunction as well as in-hospital mortality in patients treated with continuous veno-venous hemodiafiltration (CVVHDF). This single-center retrospective cohort study included 73 adult patients with septic shock and AKI who underwent CVVHDF. Patients receiving additional cytokine adsorption therapy using the HA330 cartridge were compared with those receiving standard treatment. The primary outcome was 72-h change in SOFA score (ΔSOFA). Secondary outcomes included in-hospital mortality and hemodynamic trends. Multivariable logistic regression and Cox proportional hazards models were applied to adjust for confounding and assess survival. Cytokine adsorption therapy was associated with a significantly greater median ΔSOFA score (5.9 vs. 0.0; p < 0.001). In-hospital mortality was lower in the cytokine group (hazard ratio 0.46; 95% confidence interval: 0.23-0.92; p = 0.027). Logistic regression confirmed cytokine adsorption as an independent predictor of survival (OR = 0.006, p = 0.039). The model demonstrated excellent discrimination (ROC AUC = 0.930) with high sensitivity (97.7%) at the 0.5 threshold. Exploratory subgroup analyses suggested that membrane type and microbial profile may modify treatment response. In this retrospective cohort, cytokine adsorption therapy was independently associated with early improvements in organ dysfunction and reduced in-hospital mortality. These findings support its potential therapeutic role, but require confirmation in larger multicenter prospective trials.",https://pubmed.ncbi.nlm.nih.gov/41861041/
41860304,2026,Plasma Linoleic Acid Is Associated With Pediatric Sepsis Phenotype and Acute Kidney Injury.,Saraiva IE; Fuhrman DY; Kernan KF; Park HJ; Chen X; Berg RA; Meert KL; Pollack M; Hall M; Newth C; Harrison R; Shanley T; Carcillo JA; Gómez H,Pediatric critical care medicine : a journal of the Society of Critical Care Medicine and the World Federation of Pediatric Intensive and Critical Care Societies,10.1097/PCC.0000000000003902,Journal Article,eng,"Linoleic acid (LA) is the most abundant polyunsaturated fatty acid in diet, and it is a precursor to inflammatory lipid mediators called oxylipins. The role of LA and its oxylipins in pediatric sepsis and organ injury is uncertain. Recently, pediatric sepsis phenotypes were described, with phenotype D characterized by the highest proportion of acute kidney injury (AKI), multiple organ failure, and risk of death. We aimed to test the hypothesis LA may play a role in sepsis-associated organ dysfunction. We therefore investigated whether increasing plasma LA and LA-derived lipoxygenase oxylipins are associated with sepsis phenotype D and with AKI in a cohort of critically ill children with sepsis. We studied a subset of 108 patients from the Phenotyping Sepsis-Induced Multiple Organ Failure Study (PHENOMS) cohort by means of untargeted metabolomics of heparinized plasma samples. Primary outcome was phenotype group. Key secondary outcomes included AKI (defined as both creatinine > 1 mg/dL and oliguria < 0.5 mL/kg/hr), other organ dysfunctions, and hospital mortality. Patients were followed up until discharge or 28 days. ICU. One hundred eight patients with sepsis. None. Higher LA levels were associated with sepsis phenotype D as compared with phenotypes A-C (odds ratio [OR], 1.67; 95% CI, 1.05-2.65; p = 0.03). LA-derived oxylipins 9-hydroxyoctadecadienoic acid and 13-hydroxyoctadecadienoic acid (9-HODE/13-HODE) were also associated with sepsis phenotype D (jointly reported in one variable; OR, 1.26; 95% CI, 1.01-1.57; p = 0.04). Higher LA showed a trend and 9-HODE/13-HODE was associated with AKI (OR, 1.52; 95% CI, 0.97-2.38; p = 0.07 and OR, 1.27; 95% CI, 1.03-1.56; p = 0.02, respectively). Neither LA nor oxylipins were associated with hospital mortality. LA levels and LA-derived lipoxygenase oxylipins are associated with pediatric sepsis phenotype D and AKI. These results support future mechanistic studies to investigate lipid metabolism in the pathophysiology of sepsis.",https://pubmed.ncbi.nlm.nih.gov/41860304/
41844479,2026,Trajectory pattern of serum urea nitrogen to creatinine ratio in acute kidney injury requiring continuous renal replacement therapy: A post hoc analysis of a retrospective multicenter cohort study.,Nakano H; Horie R; Gondo T; Inoue Y; Inokuchi R; Doi K; CHANGE Study Group,Journal of critical care,10.1016/j.jcrc.2026.155522,Journal Article; Multicenter Study,eng,"Investigate the association between the phenotypic classification of laboratory data and mortality in adult patients with acute kidney injury (AKI) undergoing continuous renal replacement therapy (CRRT). This post-hoc analysis of a retrospective multicenter cohort study examined adult AKI patients treated with CRRT at 18 university hospitals in Japan. The primary outcome was mortality within 7 days of CRRT termination. The phenotypes were classified by analyzing the laboratory data until day 3 following CRRT initiation using a group-based multitrajectory (GBMT) analysis. External validation was performed using the Medical Information Mart for Intensive Care (MIMIC)-IV database. Altogether, 550 patients were categorized into the following three groups based on their lactate (Lac) levels and serum urea nitrogen-to-creatinine ratio (UCR): group 1, high Lac levels; group 2, high UCR; and group 3, normal UCR and Lac levels. Groups 1 and 2 exhibited higher mortality rates than group 3 (33.3% vs. 29.3% vs. 13.5%, p < 0.01), although group 3 demonstrated the highest serum creatinine level (2.3 vs. 2.1 vs. 3.0 mg/dL, p < 0.001). External validation using the MIMIC-IV database showed similar results. UCR and Lac were distinctive factors in the GBMT analysis. The groups with high UCR or high Lac levels had significantly higher mortality rates than the groups with normal UCR and Lac levels. UCR may reflect increased protein metabolism and be a useful risk factor for mortality even in patients with severe AKI requiring CRRT.",https://pubmed.ncbi.nlm.nih.gov/41844479/
41813944,2026,Predictive value of FST for renal replacement therapy in patients with acute kidney injury: a meta-analysis.,Zhao C; Zhang Z; Wang X; Zhang T; Guo S; Xin Y; Zhu G; Hu Z,Scientific reports,10.1038/s41598-026-43461-4,Journal Article; Meta-Analysis,eng,"The furosemide stress test (FST) has been used as a predictor for renal replacement therapy (RRT), yet its reported performance varies across studies. This meta-analysis aimed to evaluate the predictive value of FST for RRT in patients with acute kidney injury (AKI). We searched PubMed, Embase, Cochrane, CNKI, and Wanfang Medical databases up to December 13, 2025, for prospective or retrospective cohort studies reporting the predictive performance of FST for RRT. This trial has been registered in PROSPERO (CRD42024570956). A total of 14 studies with 3506 AKI patients were included. The pooled sensitivity and specificity of FST in predicting RRT were 0.76 (95% CI 0.67–0.83) and 0.77 (95% CI 0.69–0.84), respectively. The pooled positive likelihood ratio was 3.36 (95% CI 2.44–4.26), and the pooled negative likelihood ratio was 0.31 (95% CI 0.22–0.43). The area under the summary receiver operating characteristic curve was 0.83. When integrated into a combined prediction model, FST demonstrated enhanced prognostic accuracy for RRT compared with its use as a stand-alone test. These findings suggest that FST is a promising bedside tool for identifying patients with AKI who are a high risk of requiring RRT.",https://pubmed.ncbi.nlm.nih.gov/41813944/
41776517,2026,The '72-Hour Divergence' in severe hyperbilirubinemia: sepsis is associated with altered renal and hematologic adaptation in a 10-year exchange transfusion cohort.,Sarı EE; Salihoğlu Ö,BMC pediatrics,10.1186/s12887-026-06682-0,Journal Article,eng,"OBJECTIVE: To investigate the association between concurrent sepsis and physiological recovery trajectories in neonates undergoing exchange transfusion (ET) for severe hyperbilirubinemia. STUDY DESIGN: A 10-year longitudinal cohort study (2010–2020) of 54 neonates requiring double-volume ET. Patients were stratified into Sepsis (n = 26) and No-Sepsis (n = 28) groups. Renal and hematologic adaptation markers were analyzed over the first 72 h post-procedure. RESULT: The initial severity of hyperbilirubinemia was comparable between the groups (admission TSB: 23.8 vs. 23.1 mg/dL; p = 0.42). Sepsis, predominantly driven by Klebsiella and E. coli, was identified in 48.1% of the cohort. While ET effectively lowered bilirubin in all infants, concurrent sepsis was associated with a “72-Hour Divergence” an altered physiological state characterized by severe thrombocytopenia (85 vs. 240 × 10³/µL; p < 0.001) and persistent creatinine elevation (1.1 vs. 0.4 mg/dL; p < 0.001) at 72 h. Furthermore, sepsis was linked to a prolonged hospitalization of 7.8 days (p < 0.001), independent of admission bilirubin levels. CONCLUSION: Sepsis is associated with altered renal and hematologic adaptation in neonates undergoing ET. The “72-Hour Divergence” represents a distinct high-risk phenotype requiring clinical vigilance beyond isolated bilirubin clearance.",https://pubmed.ncbi.nlm.nih.gov/41776517/
41765736,2026,Association between ventilatory ratio and subsequent development of severe late acute kidney injury in acute respiratory distress syndrome.,Kokkoris S; Papoutsi E; Andrianopoulos I; Siampanos A; Kolonia K; Charalampaki E; Kotanidou A; Dimopoulou I; Siempos II,Medicina intensiva,10.1016/j.medine.2026.502440,Journal Article; Multicenter Study,eng,"To investigate the association of a dead space ventilation index, namely ventilatory ratio (VR), with subsequent development of severe late acute kidney injury (AKI). Multicenter retrospective study. Secondary analysis of individual patient-level data from seven ARDS Network and PETAL Network randomized controlled trials. Critically ill patients with ARDS. We compared patients who developed severe AKI (stage II or III) more than two days but no longer than seven days following ARDS onset (""severe late AKI"" group) with patients who did not develop severe late AKI (""no severe late AKI"" group). None. VR, severe late AKI. Of 3007 patients with ARDS included in the study, 376 (12.5%) developed severe late AKI. Baseline VR was independently associated with severe late AKI development [odds ratio (OR) 1.712, CI 1.096-2.674, p = 0.018)]. An adjusted linear mixed effects model revealed that trajectory of VR was higher in patients who developed severe late AKI than those who did not (estimate = 0.23, p < 0.001). Adjusted latent class mixed modeling identified two distinct trajectories of VR evolution over time, class 1 with lower trajectory over time, and class 2 with higher trajectory, which was independently associated with an increased risk of severe late AKI (OR 2.55, 95% CI 1.02-6.41, p = 0.046) compared to class 1. In ARDS, baseline value of VR was independently associated with severe late AKI, while its trajectory was significantly higher in patients who developed severe late AKI than those who did not.",https://pubmed.ncbi.nlm.nih.gov/41765736/
41748078,2026,Incidence and Severe Outcomes of Acute Kidney Injury in Haff Disease: A Brazilian Cohort Study.,Domingues-da-Silva RO; Oliveira HB; Teixeira TA; Lopes GR; Chagas GCL; Santiago AIA; de Almeida Mota Ramalho J; Meneses GC; Israel KCP; Santos PBS; da Conceição Andrade L; Junior GBS; Martins AMC; Daher EF,Tropical medicine & international health : TM & IH,10.1111/tmi.70111,Journal Article,eng,"Haff disease, characterised by rhabdomyolysis within 24 h of fish ingestion, is a rare but potentially severe condition. Acute Kidney Injury (AKI) is recognised as a significant complication, yet effective prognosis assessment is difficult due to clinical variability and the disease's low incidence. This study aimed to determine the incidence and severity of AKI in Haff disease patients from a recent outbreak, comparing clinical and laboratory features between those with and without this complication. This retrospective cohort study utilised medical records from a Brazilian tertiary hospital between 2021 and 2022. Adult patients presenting within 24 h of fish consumption with serum Creatine Phosphokinase (CPK) levels at least five times the upper reference limit and classic signs of rhabdomyolysis were included. Eighteen patients met inclusion criteria, 56% male, mean age 52.6 ± 16.4 years, 28% with diabetes, 39% with hypertension. No patient died in our cohort. AKI occurred in 8 patients (44%), predominantly classified as KDIGO stage 3 (75%). Within the AKI group, 2 (25%) presented with oliguria, 5 (63%) required dialysis and 3 (38%) remained dialysis-dependent at discharge. Both patients requiring intensive care unit admission belonged to the AKI group. Peak levels of liver enzymes (AST p = 0.005, ALT p = 0.018), Lactate Dehydrogenase (p = 0.042) and both admission (p = 0.008) and peak (p = 0.003) CK-MB were significantly higher in patients who developed AKI. AKI incidence in this Haff disease cohort was notably high. The AKI group had a more severe clinical trajectory, encompassing all ICU admissions and frequent dialysis requirements, with a concerning rate of persistent dialysis dependence at discharge.",https://pubmed.ncbi.nlm.nih.gov/41748078/
41710101,2026,Persistent Severe Acute Kidney Injury Among Critically Ill Patients: Outcomes and Predictive Markers-A Single-Center Retrospective Cohort Study.,Nguyen TP; Khong TT; Vu HTT; Nguyen NNP; Phan PV; Le HT; Hoang TT; Nguyen HT; Phan LT; Nguyen YTK; Hoang PKN,Critical care research and practice,10.1155/ccrp/6920702,Journal Article,eng,"Persistent severe acute kidney injury (PS-AKI)-recently standardized as Kidney Disease: Improving Global Outcomes (KDIGO) Stage 3 persisting ≥ 72 h, or renal replacement therapy/death after Stage 3 diagnosis-has emerged as a trajectory-based phenotype complementing conventional KDIGO staging. Evidence in contemporary intensive care unit (ICU) cohorts remains limited. We retrospectively studied adults admitted to a tertiary ICU (January 2024-June 2025). Acute kidney injury (AKI) was staged per KDIGO 2012, with trajectories classified as Stage 1 AKI, transient AKI (Stage 2-3 resolving within 48 h), persistent mild-moderate AKI, or PS-AKI. The primary outcome was in-hospital mortality; secondary outcomes included renal recovery. Predictors of PS-AKI were explored using logistic regression and gradient boosting with SHAP attribution. Among 139 ICU patients with AKI screened, 106 met criteria. Most AKI was community-acquired (97/106, 91.5%). PS-AKI accounted for 23% (24/106) and carried the worst outcomes, with in-hospital mortality 54% and renal recovery 17%. Within Stage 2-3, PS-AKI was associated with substantially worse outcomes than non-PS trajectories (mortality 54% vs 10.8%; adjusted HR for death 2.23, 95% CI 0.69-7.21; adjusted OR for renal recovery 0.07, 95% CI 0.01-0.24). A 72-h landmark analysis showed similar but nonsignificant trends. Inflammatory profiles distinguished PS-AKI, with higher neutrophil-to-lymphocyte ratio (NLR), C-reactive protein (CRP), and lower platelets. The composite NLR-to-platelet ratio (NLR/PLT) was independently associated with PS-AKI (adjusted OR 2.51 per doubling, 95% CI 1.52-4.12; AUC 0.86), while the systemic immune-inflammation index (SII) showed no significant association. In this predominant community-acquired ICU cohort, PS-AKI was common and strongly associated with poor in-hospital outcomes. The co-occurrence of inflammation and thrombocytopenia, summarized by NLR/PLT, may represent a simple exploratory signal for early-risk appraisal. These findings support further research into trajectory-based AKI phenotypes and the potential utility of inflammation-hematologic markers in predicting persistence.",https://pubmed.ncbi.nlm.nih.gov/41710101/
